Zona,Year,WPD_a_mean,WPD_a_sd,FNRR_a,coh_a
1,2017,33.7989717344862,428.019165201974,0.926813243068588,0.073186756931412
1,2018,214.281275825572,682.316878245055,0.761006338399519,0.238993661600481
1,2019,710.627645939437,802.103517362678,0.530235336470348,0.469764663529652
1,2020,5.85034891641373,86.5801461476841,0.936705424845375,0.063294575154625
1,2021,1.57324511343911,20.373378052161,0.9283149347593,0.0716850652407002
1,2022,0.778611640485113,0.622805195380913,0.444411098426716,0.555588901573284
1,2023,1.21559592097063,0.251513374320477,0.171434653933244,0.828565346066756
1,2024,1.21517202734529,0.251323119508449,0.171376714097994,0.828623285902006
1,2025,1.215483255266,0.251589430504886,0.171490774073464,0.828509225926536
1,2026,1.21589701631111,0.251391357178668,0.171330572585921,0.828669427414079
1,2027,1.21587392131996,0.251399778231204,0.171338025283291,0.828661974716709
1,2028,1.21510569971322,0.251344403873881,0.171396492290508,0.828603507709492
2,2017,12.8472084190621,10.964228790282,0.460460605291788,0.539539394708212
2,2018,12.5436122675071,9.89044121521137,0.440867328003395,0.559132671996605
2,2019,34.7393390038936,48.6648455626068,0.583482061668081,0.416517938331919
2,2020,18.5055472780544,29.7079941246311,0.616175316318423,0.383824683681577
2,2021,8.33116582279271,7.41702863021287,0.470976444464547,0.529023555535453
2,2022,7.16915754903532,5.74904648597588,0.445034500956533,0.554965499043467
2,2023,6.32928995969944,3.14213539234601,0.331748947550691,0.668251052449309
2,2024,6.32378969355072,3.13957186118025,0.331760743053371,0.668239256946629
2,2025,6.32914114995528,3.14221655274158,0.331759886108712,0.668240113891288
2,2026,6.32921254747024,3.14217337560636,0.331754338924211,0.668245661075789
2,2027,6.32845131830326,3.1426262608216,0.331812957350095,0.668187042649905
2,2028,6.3239215551737,3.13951043190409,0.331751782671557,0.668248217328443
3,2017,13.0436216410046,17.6168252152771,0.574578227703415,0.425421772296585
3,2018,18.2305125425535,22.9476436920291,0.557277104912168,0.442722895087832
3,2019,20.320428046701,29.871531955207,0.595145755496926,0.404854244503075
3,2020,15.1442374413751,12.1636885556209,0.44542703671304,0.55457296328696
3,2021,5.53577187171022,4.78721320668521,0.463743110188562,0.536256889811438
3,2022,2.83076576392562,1.95030481238997,0.407922196767261,0.592077803232739
3,2023,2.64424787755607,1.33031590726643,0.334707399173326,0.665292600826675
3,2024,2.64268801341864,1.32883858415779,0.334591384826353,0.665408615173647
3,2025,2.64380576361177,1.33052089095573,0.334778946623983,0.665221053376017
3,2026,2.64397563122899,1.33043487254614,0.334750240641327,0.665249759358674
3,2027,2.64372824331934,1.33056787670394,0.334793341140405,0.665206658859595
3,2028,2.64212770195733,1.32911268594478,0.334684520734064,0.665315479265936
4,2019,3.41271487730696,2.63059782912688,0.435290701791137,0.564709298208863
4,2020,16.751853938665,8.73535810069267,0.342734940455764,0.657265059544236
4,2021,13.0172937361464,15.1966956278688,0.538622717681004,0.461377282318996
4,2022,6.86328949718908,4.30066665734499,0.385227834811796,0.614772165188204
4,2023,6.34188110824575,2.24279019309237,0.261255220423265,0.738744779576735
4,2024,6.33557101897093,2.24294674130754,0.261460872843694,0.738539127156306
4,2025,6.34164043213057,2.24301157931685,0.261281596077028,0.738718403922972
4,2026,6.3419677019972,2.24270822602559,0.261245531552888,0.738754468447113
4,2027,6.34194660890682,2.2427288245005,0.261247946051974,0.738752053948026
4,2028,6.33629810719452,2.24226044399033,0.261379628128858,0.738620371871142
