Zona,Estación,Variable,delta_min_mediana,n
2,52055230,VV,0.166666666666667,143557
2,52055220,VV,0.166666666666667,222289
2,52055170,VV,0.166666666666667,192159
2,52055160,VV,0.166666666666667,42506
1,51025080,VV,0.166666666666667,168648
1,51025060,VV,0.166666666666667,129251
1,51035020,VV,0.166666666666667,81400
1,51025090,VV,0.166666666666667,135648
1,5102500128,VV,0.166666666666667,102765
3,52055210,VV,0.166666666666667,206772
3,52055150,VV,0.166666666666667,167948
3,47015100,VV,0.166666666666667,116214
3,5205500123,VV,0.166666666666667,75848
3,52045080,VV,0.166666666666667,191172
4,52040050,VV,0.166666666666667,52124
4,52035040,VV,0.166666666666667,190304
2,52055230,DV,0.166666666666667,140475
2,52055220,DV,0.166666666666667,221303
2,52055170,DV,0.166666666666667,191288
2,52055160,DV,0.166666666666667,42506
1,51025080,DV,0.166666666666667,168707
1,51025060,DV,0.166666666666667,128763
1,51035020,DV,0.166666666666667,81279
1,51025090,DV,0.166666666666667,135491
1,5102500128,DV,0.166666666666667,103050
3,52055210,DV,0.166666666666667,205867
3,52055150,DV,0.166666666666667,167430
3,47015100,DV,0.166666666666667,116134
3,5205500123,DV,0.166666666666667,75992
3,52045080,DV,0.166666666666667,190819
4,52040050,DV,0.166666666666667,52250
4,52035040,DV,0.166666666666667,189565
2,52055170,TM,0.916666666666667,42542
2,52055220,TM,0.75,37792
2,52055230,TM,1,25913
2,52055160,TM,0.966666666666667,7030
3,52055210,TM,0.833333333333333,47814
3,52045080,TM,0.933333333333333,43031
3,47015100,TM,1,19415
3,52055150,TM,0.8,18360
3,5205500123,TM,1,12651
2,52055170,Tmin,0.95,41451
2,52055220,Tmin,0.783333333333333,36881
2,52055230,Tmin,1,25829
2,52055160,Tmin,0.966666666666667,7076
3,52055210,Tmin,0.866666666666667,46717
3,52045080,Tmin,0.95,41621
3,47015100,Tmin,1,19415
3,52055150,Tmin,0.8,18345
3,5205500123,Tmin,1,12651
4,52035040,Tmin,0.883333333333333,43423
4,52040050,Tmin,1,8752
1,51025090,PR,0.166666666666667,130782
1,51025060,PR,0.166666666666667,129649
1,51025080,PR,0.166666666666667,168487
1,51035020,PR,0.166666666666667,81496
1,5102500128,PR,0.166666666666667,72886
4,52035040,PR,0.166666666666667,190942
4,52040050,PR,0.166666666666667,51847
3,52045080,PR,0.166666666666667,191695
3,52055210,PR,0.166666666666667,207842
3,52055150,PR,0.166666666666667,179336
3,5205500123,PR,0.166666666666667,75633
3,47015100,PR,0.166666666666667,115587
2,52055230,PR,0.166666666666667,145839
2,52055170,PR,0.166666666666667,193396
2,52055220,PR,0.166666666666667,225224
2,52055160,PR,0.166666666666667,42478
1,51025090,EV,60,2005
1,51025060,EV,60,1008
2,52055220,EV,60,2005
2,52055160,EV,60,1219
3,52055150,EV,60,2005
3,52055210,EV,60,2005
4,52035040,EV,60,1779
1,51025090,NU,6,5820
1,51035020,NU,6,1120
2,52055230,NU,6,5742
2,52055220,NU,6,5439
3,47015100,NU,6,5580
3,52055210,NU,6,5916
4,52035040,NU,6,5977
1,51025090,FA,252,621
1,51035020,FA,308160,30
2,52055230,FA,1,13694
2,52055220,FA,60,1292
3,47015100,FA,240,572
3,52045080,FA,41850,439
3,52055210,FA,43287,267
4,52040050,FA,60,1397
4,52035040,FA,48,2852
